Language,Corpora,Reference,Year collected
Croatian,Kovacevic,"Kovacevic, 2003",2003
English,Bernstein,"Ratner, & Pye, 1984",1984
English,Bloom,"Bloom et al., 1975",1975
English,Braunwald,"Braunwald, 1985",1985
English,Brent,"Brent & Siskind, 2001",2001
English,MacWhinney,"MacWhinney, 2014",2014
English,McCune,"McCune, 1995",1995
English,Nelson,"Nelson, 2006",2006
English,NewmanRatner,"Newman, et a., 2016",2016
English,Peters,"Wilson & Peters, 1988",1988
English,Providence,"Evans & Demuth, 2012",2012
English,Rollins,"Rollins & Greenwald, 2013",2013
English,Sachs,"Sachs & Nelson, 1983",1983
English,Soderstrom,"Soderstrom et al., 2008",2008
Estonian,Argus,"Argus, 1998",1998
Estonian,Zupping,,
French,Hunkeler,"Hunkeler, 2005",2005
French,Lyon,"Berman & Slobin, 2013",2013
French,Paris,"Morgenstern, 2006",2006
French,Yamaguchi,"Yamaguchi, 2012",2012
French,York,"De Cat & Plunkett, 2002",2002
German,Leo,"Behrens, 2006",2006
German,Rigol,"Lieven & Stoll, 2013",2013
Japanese,Ishii,"Ishii, 1999",1999
Japanese,MiiPro,"Oshima-Takane et al., 1995",1995
Japanese,Miyata,"Miyata, 1992",1992
Korean,Ryu,"Ryu, 2012",2012
Mandarin,Tong,"Xiangjun et al., 2018",2018
Norwegian,Garmann,"Garmann, 2019",2019
Persian,Family,"Family, 2009",2009
Polish,WeistJarosz,"Weist et al., 1984; Jarosz, 2010",1984
Portuguese,Santos,"Santos, 2006",2006
Spanish,Nieva,,
Spanish,Remedi,"Remedi, 2014",2014
Swedish,Andren,"Andrén, 2010",2010
Swedish,Lund,"Strömqvist et al., 1993",1993