#,corpus_name,language,city,latitude,longitude
0,Bernstein,eng,"College Park, Maryland",38.987202,-76.945999
1,Peters,eng,,,
2,Rollins,eng,"Dallas, Texas",32.776665,-96.796989
3,Bloom,eng,"New York City, New York",40.712776,-74.005974
4,Brent,eng,"Baltimore, Maryland",39.290386,-76.61219
5,Nelson,eng,"New York City, New York",40.712776,-74.005974
6,Braunwald,eng,"Irvine, CA",33.684566,-117.826508
7,Soderstrom,eng,"Providence, Rhode Island",41.824,-71.4128
8,Sachs,eng,"Storrs, Connecticut",41.8084,-72.2495
9,McCune,eng,"New Brunswick, New Jersey",40.4862,-74.4518
10,NewmanRatner,eng,"College Park, Maryland",38.9897,-76.9378
11,Lund,swe,"Lund, Sweden",55.7047,13.191
12,Andren,swe,"Linköping, Sweden",58.4108,15.6214
13,Nieva,spa,"Madrid, Spain",40.4168,-3.7038
14,Family,fas,"Tehran, Iran",35.6892,51.389
15,Ishii,jpn,"Kusatsu, Japan",36.6207,138.5961
16,MiiPro,jpn,"Tokyo, Japan",35.6762,139.6503
17,Miyata,jpn,"Nagoya, Japan",35.1815,136.9066
18,Santos,por,"Libson, portugal",38.7223,-9.1393
19,Garmann,nor,"Oslo, Norway",59.9139,10.7522
20,Lyon,fra,"Paris, France",48.8566,2.3522
21,Paris,fra,"Paris, France",48.8566,2.3522
22,Remedi,spa,"Córdoba, Argentina",-31.4201,-64.1888
23,Remedi,spa,"Rio Cuarto, Argentina",-33.1232,-64.3493
24,York,fra,"Liège, Belgium",50.6326,5.5797
25,York,fra,"Paris, France",48.8566,2.3522
26,York,fra,"Montréal, Canada",45.5017,-73.5673
27,Tong,zho,"Hong Kong, China",22.3193,114.1694
28,Argus,est,"Tallinn, Estonia",59.437,24.7536
29,Zupping,est,"Tartu, Estonia",58.378,26.729
30,Ryu,kor,"Seoul, South Korea",37.5665,126.978
31,Kovacevic,hrv,"Zagreb, Croatia",45.815,15.9819
32,Rigol,deu,"Osnabrück, Germany",52.2799,8.0472
33,WeistJarosz,pol,"Pozna_, Poland",52.4064,16.9252
34,Yamaguchi,fra,"Paris, France",48.8566,2.3522
35,Hunkeler,fra,"Mont-Saint-Aignan, France",49.4598,1.0798